year,age,sex,people
1950,0,1,319625
1950,0,2,373838
1951,0,1,321983
1951,0,2,375866
1952,0,1,324095
1952,0,2,377544
1953,0,1,326346
1953,0,2,379313
1954,0,1,328462
1954,0,2,380987
1955,0,1,330837
1955,0,2,382662
1956,0,1,327987
1956,0,2,381445
1957,0,1,330902
1957,0,2,383849
1958,0,1,333991
1958,0,2,386317
1959,0,1,336864
1959,0,2,388566
1960,0,1,340730
1960,0,2,390738
1961,0,1,343422
1961,0,2,393263
1962,0,1,347722
1962,0,2,396109
1963,0,1,351361
1963,0,2,399095
1964,0,1,355129
1964,0,2,400782
1965,0,1,359507
1965,0,2,403856
1966,0,1,362079
1966,0,2,406565
1967,0,1,362484
1967,0,2,407900
1968,0,1,365597
1968,0,2,409905
1969,0,1,370315
1969,0,2,412376
1970,0,1,369369
1970,0,2,411326
1971,0,1,372404
1971,0,2,413158
1972,0,1,373998
1972,0,2,414209
1973,0,1,375651
1973,0,2,414875
1974,0,1,374393
1974,0,2,414430
1975,0,1,371989
1975,0,2,412660
1976,0,1,370687
1976,0,2,411403
1977,0,1,370336
1977,0,2,410770
1978,0,1,370452
1978,0,2,410279
1979,0,1,371566
1979,0,2,410231
1980,0,1,373380
1980,0,2,410595
1981,0,1,373720
1981,0,2,410464
1982,0,1,372899
1982,0,2,409585
1983,0,1,371827
1983,0,2,408254
1984,0,1,370481
1984,0,2,406611
1985,0,1,370677
1985,0,2,405928
1986,0,1,371890
1986,0,2,405913
1987,0,1,373547
1987,0,2,405448
1988,0,1,376659
1988,0,2,407238
1989,0,1,381097
1989,0,2,410031
1990,0,1,385000
1990,0,2,412533
1991,0,1,388391
1991,0,2,414355
1992,0,1,393001
1992,0,2,416746
1993,0,1,395185
1993,0,2,418196
1994,0,1,396450
1994,0,2,418936
1995,0,1,398248
1995,0,2,419927
1996,0,1,399548
1996,0,2,420573
1997,0,1,399923
1997,0,2,420651
1998,0,1,400041
1998,0,2,420329
1999,0,1,400908
1999,0,2,420727
2000,0,1,401565
2000,0,2,421030
2001,0,1,402747
2001,0,2,421656
2002,0,1,403449
2002,0,2,421918
2003,0,1,403590
2003,0,2,421726
2004,0,1,403536
2004,0,2,421472
2005,0,1,403400
2005,0,2,420980
2006,0,1,403012
2006,0,2,420137
2007,0,1,402743
2007,0,2,419435
2008,0,1,401843
2008,0,2,418181
2009,0,1,401036
2009,0,2,416987
2010,0,1,401124
2010,0,2,416392
