Land;Geschlecht;Art;Richtung;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Daenemark;ges;ab;n;2974;2712;3062;2694;3115;4014;4549;4270;3322;3075
Schweden;ges;ab;n;3876;3786;4168;3568;3934;4509;4979;4858;4053;4088
Finnland;ges;ab;n;2658;2380;2696;2172;2146;2172;2485;2663;2191;2025
Estland;ges;ab;o;0;0;0;0;0;526;774;692;779;832
Lettland;ges;ab;o;0;0;0;0;0;1439;1769;2302;4165;5170
Litauen;ges;ab;o;0;0;0;0;0;2917;3097;3246;3713;4786
Polen;ges;ab;o;0;0;0;0;0;120791;132438;122629;103237;106495
Tschechische_Republik;ges;ab;o;0;0;0;0;0;6636;8082;7586;6067;5889
Slowakei;ges;ab;o;0;0;0;0;0;8472;9483;8151;7328;7782
Ungarn;ges;ab;o;0;0;0;0;0;17732;22497;23074;21330;25000
Rumaenien;ges;ab;o;0;0;0;0;0;24054;38030;44150;48868;59330
Bulgarien;ges;ab;o;0;0;0;0;0;8382;15864;19940;23785;29422
Zypern;ges;ab;o;0;0;0;0;0;278;356;340;335;315
Griechenland;ges;ab;s;19998;18106;20517;16884;15653;15599;17537;17928;12641;11259
Slowenien;ges;ab;s;0;0;0;0;0;1457;1900;2044;1764;2048
Oesterreich;ges;ab;s;15929;15976;18528;17535;18604;20152;24049;22574;19889;19776
Italien;ges;ab;s;36535;33802;36273;28579;26807;25413;28319;28426;24268;23164
Malta;ges;ab;s;0;0;0;0;0;120;194;172;159;207
Spanien;ges;ab;w;16681;16236;18010;16059;16734;17124;19613;18618;16071;16007
Portugal;ges;ab;w;11315;8880;9098;7249;7014;6988;7666;8640;7266;6137
Frankreich;ges;ab;w;19815;19060;20846;17957;17790;17911;21546;22158;18691;17281
Luxemburg;ges;ab;w;1327;1510;1670;1740;1864;2002;2336;2433;2226;2598
Belgien;ges;ab;w;4565;4623;4936;4402;4540;4716;5081;5070;4523;4405
Niederlande;ges;ab;w;9336;8616;9781;8762;9189;10071;11785;11800;10602;10375
Vereinigtes_Koenigreich;ges;ab;w;16662;15550;18529;17396;17319;17942;20299;19236;17259;16191
Irland;ges;ab;w;2634;2415;2489;2041;2330;2538;2729;2535;2011;1872
