Land;Geschlecht;Art;Richtung;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Daenemark;ges;an;n;2889;2693;2678;2669;2563;2631;3031;3157;3265;3440
Schweden;ges;an;n;3481;3397;3484;3287;3181;3256;3124;3512;3600;3829
Finnland;ges;an;n;2203;2204;2229;1458;1354;2250;2046;2160;2185;2430
Estland;ges;an;o;0;0;0;0;0;726;647;908;1209;1515
Lettland;ges;an;o;0;0;0;0;0;1757;2062;4930;7689;10177
Litauen;ges;an;o;0;0;0;0;0;4024;3454;4577;6143;9975
Polen;ges;an;o;0;0;0;0;0;153589;131308;122797;125861;172676
Tschechische_Republik;ges;an;o;0;0;0;0;0;7455;7272;7225;7190;9728
Slowakei;ges;an;o;0;0;0;0;0;9583;8828;8558;8613;12040
Ungarn;ges;an;o;0;0;0;0;0;22880;25872;26032;30015;41982
Rumaenien;ges;an;o;0;0;0;0;0;43456;47642;56427;74585;95479
Bulgarien;ges;an;o;0;0;0;0;0;20702;23834;28890;39387;51612
Zypern;ges;an;o;0;0;0;0;0;328;300;390;395;562
Griechenland;ges;an;s;15913;12959;10883;9692;8957;8908;9162;9709;13717;25264
Slowenien;ges;an;s;0;0;0;0;0;1276;1298;1531;1886;3305
Oesterreich;ges;an;s;14401;13456;13466;13758;14719;15743;16828;17538;17859;18590
Italien;ges;an;s;26882;23702;21422;20268;20130;20771;22449;24926;27188;32870
Malta;ges;an;s;0;0;0;0;0;151;133;138;220;330
Spanien;ges;an;w;15426;14647;14406;14004;14219;15515;17388;19959;21543;28140
Portugal;ges;an;w;8806;7699;6225;5608;5640;6128;6500;7351;7257;9038
Frankreich;ges;an;w;18619;18133;18369;9873;9975;19627;19772;20065;20266;20911
Luxemburg;ges;an;w;1739;1728;1987;2405;2611;3224;3458;3052;2897;3039
Belgien;ges;an;w;4439;4291;4349;4267;4115;4198;4428;4504;4934;5219
Niederlande;ges;an;w;13976;13015;13026;13905;14054;14107;14393;12766;12460;12810
Vereinigtes_Koenigreich;ges;an;w;14703;13197;12719;12611;12903;13443;15244;15750;16565;17735
Irland;ges;an;w;2230;2046;1655;1551;1724;1862;2169;2366;2319;2794
