Land,Geschlecht,Art,Richtung,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Daenemark,m,ab,n,1574,1428,1620,1395,1637,2137,2449,2309,1752,1658
Schweden,m,ab,n,2025,1942,2187,1804,2070,2360,2613,2494,2080,2081
Finnland,m,ab,n,1181,1074,1196,957,980,1004,1128,1192,998,881
Estland,m,ab,o,0,0,0,0,0,205,293,289,412,463
Lettland,m,ab,o,0,0,0,0,0,783,844,1411,2931,3772
Litauen,m,ab,o,0,0,0,0,0,1227,1344,1431,1995,2899
Polen,m,ab,o,0,0,0,0,0,87017,93198,85058,70023,73002
Tschechische_Republik,m,ab,o,0,0,0,0,0,3391,4206,3986,3212,3208
Slowakei,m,ab,o,0,0,0,0,0,5676,6152,5179,4746,5023
Ungarn,m,ab,o,0,0,0,0,0,14103,17670,17897,16402,19726
Rumaenien,m,ab,o,0,0,0,0,0,15475,24766,27837,30372,37590
Bulgarien,m,ab,o,0,0,0,0,0,5152,9907,12816,15666,20316
Zypern,m,ab,o,0,0,0,0,0,156,203,190,172,157
Griechenland,m,ab,s,12244,10877,12236,9743,8996,8895,10195,10306,7419,6789
Slowenien,m,ab,s,0,0,0,0,0,924,1249,1391,1159,1482
Oesterreich,m,ab,s,9147,8854,10257,9368,10053,10828,12960,12194,10681,10631
Italien,m,ab,s,22368,20170,21468,16719,15573,14890,16588,16857,14596,14009
Malta,m,ab,s,0,0,0,0,0,68,115,118,91,123
Spanien,m,ab,w,8761,8576,9427,8388,8756,8827,10052,9542,8462,8395
Portugal,m,ab,w,8179,6118,6018,4639,4620,4525,4949,5746,4969,4308
Frankreich,m,ab,w,10415,10051,10887,9335,9131,9336,11005,11247,9567,8676
Luxemburg,m,ab,w,731,824,945,981,1035,1112,1257,1338,1172,1397
Belgien,m,ab,w,2424,2417,2628,2317,2390,2435,2685,2654,2436,2345
Niederlande,m,ab,w,5288,4919,5540,4920,5026,5665,6621,6654,5913,5784
Vereinigtes_Koenigreich,m,ab,w,9036,8316,9944,9083,9089,9457,10757,10182,9185,8383
Irland,m,ab,w,1296,1214,1238,1022,1196,1319,1424,1303,1089,967
