Land,Geschlecht,Art,Richtung,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Daenemark,w,ab,n,1400,1284,1442,1299,1478,1877,2100,1961,1570,1417
Schweden,w,ab,n,1851,1844,1981,1764,1864,2149,2366,2364,1973,2007
Finnland,w,ab,n,1477,1306,1500,1215,1166,1168,1357,1471,1193,1144
Estland,w,ab,o,0,0,0,0,0,321,481,403,367,369
Lettland,w,ab,o,0,0,0,0,0,656,925,891,1234,1398
Litauen,w,ab,o,0,0,0,0,0,1690,1753,1815,1718,1887
Polen,w,ab,o,0,0,0,0,0,33774,39240,37571,33214,33493
Tschechische_Republik,w,ab,o,0,0,0,0,0,3245,3876,3600,2855,2681
Slowakei,w,ab,o,0,0,0,0,0,2796,3331,2972,2582,2759
Ungarn,w,ab,o,0,0,0,0,0,3629,4827,5177,4928,5274
Rumaenien,w,ab,o,0,0,0,0,0,8579,13264,16313,18496,21740
Bulgarien,w,ab,o,0,0,0,0,0,3230,5957,7124,8119,9106
Zypern,w,ab,o,0,0,0,0,0,122,153,150,163,158
Griechenland,w,ab,s,7754,7229,8281,7141,6657,6704,7342,7622,5222,4470
Slowenien,w,ab,s,0,0,0,0,0,533,651,653,605,566
Oesterreich,w,ab,s,6782,7122,8271,8167,8551,9324,11089,10380,9208,9145
Italien,w,ab,s,14167,13632,14805,11860,11234,10523,11731,11569,9672,9155
Malta,w,ab,s,0,0,0,0,0,52,79,54,68,84
Spanien,w,ab,w,7920,7660,8583,7671,7978,8297,9561,9076,7609,7612
Portugal,w,ab,w,3136,2762,3080,2610,2394,2463,2717,2894,2297,1829
Frankreich,w,ab,w,9400,9009,9959,8622,8659,8575,10541,10911,9124,8605
Luxemburg,w,ab,w,596,686,725,759,829,890,1079,1095,1054,1201
Belgien,w,ab,w,2141,2206,2308,2085,2150,2281,2396,2416,2087,2060
Niederlande,w,ab,w,4048,3697,4241,3842,4163,4406,5164,5146,4689,4591
Vereinigtes_Koenigreich,w,ab,w,7626,7234,8585,8313,8230,8485,9542,9054,8074,7808
Irland,w,ab,w,1338,1201,1251,1019,1134,1219,1305,1232,922,905
