Land,Geschlecht,Art,Richtung,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Daenemark,w,an,n,1279,1267,1178,1186,1132,1117,1321,1396,1473,1498
Schweden,w,an,n,1695,1598,1638,1576,1452,1511,1486,1691,1768,1813
Finnland,w,an,n,1278,1266,1228,1198,1129,1229,1167,1184,1177,1328
Estland,w,an,o,0,0,0,0,0,494,410,479,587,756
Lettland,w,an,o,0,0,0,0,0,1013,985,1898,2594,3646
Litauen,w,an,o,0,0,0,0,0,2498,2012,2415,2882,4387
Polen,w,an,o,0,0,0,0,0,49554,45006,41405,42796,57844
Tschechische_Republik,w,an,o,0,0,0,0,0,3899,3521,3523,3369,4404
Slowakei,w,an,o,0,0,0,0,0,3549,3154,3294,3217,4450
Ungarn,w,an,o,0,0,0,0,0,5166,6150,6441,7334,10923
Rumaenien,w,an,o,0,0,0,0,0,17186,17981,22434,28960,36447
Bulgarien,w,an,o,0,0,0,0,0,9343,9354,11104,14296,17903
Zypern,w,an,o,0,0,0,0,0,163,148,178,174,284
Griechenland,w,an,s,5954,5055,4298,3777,3499,3512,3714,3904,5530,10368
Slowenien,w,an,s,0,0,0,0,0,484,446,462,536,807
Oesterreich,w,an,s,6208,5863,5771,6136,6560,6967,7631,7867,7895,8419
Italien,w,an,s,10383,9536,8729,8237,8244,8523,9087,10025,10470,12869
Malta,w,an,s,0,0,0,0,0,60,46,57,69,162
Spanien,w,an,w,7337,6817,6801,6468,6728,7228,8058,9088,9867,12327
Portugal,w,an,w,2764,2517,2284,2031,2028,2072,2141,2178,2267,2950
Frankreich,w,an,w,8793,8656,8668,8902,9120,9288,9282,9461,9631,9917
Luxemburg,w,an,w,782,754,865,1129,1176,1503,1646,1410,1354,1455
Belgien,w,an,w,1962,1844,1856,1882,1858,1854,1997,1988,2140,2236
Niederlande,w,an,w,5923,5568,5437,5809,5903,5923,5995,5275,5153,5285
Vereinigtes_Koenigreich,w,an,w,6331,5661,5441,5385,5567,5957,6638,6825,7236,7742
Irland,w,an,w,1056,986,802,745,764,802,978,1058,1006,1214
