team,punkte,platz,lizenzspieleretat
Borussia Dortmund,81,1,41000000
FC Bayern München,73,2,100000000
FC Schalke 04,64,3,60000000
Borussia Mönchengladbach,60,4,27500000
Bayer Leverkusen,54,5,40000000
VfB Stuttgart,53,6,50000000
Hannover 96,48,7,27000000
VfL Wolfsburg,44,8,50000000
SV Werder Bremen,42,9,40000000
1. FC Nürnberg,42,10,20000000
1899 Hoffenheim,41,11,30000000
SC Freiburg,40,12,13500000
1. FSV Mainz 05,39,13,23000000
FC Augsburg,38,14,15500000
Hamburger SV,36,15,35000000
Hertha BSC,31,16,24500000
1. FC Köln,30,17,27000000
1. FC Kaiserslautern,23,18,15000000
