1.Tag	2.Tag	3.Tag	4.Tag	5.Tag	6.Tag	7.Tag	8.Tag	9.Tag	10.Tag	11.Tag	12.Tag	13.Tag	14.Tag	15.Tag	16.Tag	17.Tag	18.Tag	19.Tag	20.Tag	21.Tag	22.Tag	23.Tag	24.Tag	25.Tag	26.Tag	27.Tag	verein
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	FC Bayern München
3	6	5	4	6	3	4	4	4	5	4	4	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	Borussia Dortmund
12	9	12	13	8	7	6	5	5	4	5	5	5	2	2	2	2	2	2	3	3	3	3	3	3	3	3	Bayer 04 Leverkusen
8	4	4	5	4	4	3	3	2	2	2	2	3	4	4	5	7	5	6	6	10	9	9	6	4	5	4	FC Schalke 04
10	14	8	8	12	14	11	7	12	12	11	10	6	10	11	9	5	6	8	8	5	5	5	5	8	9	7	Sport-Club Freiburg
3	2	2	2	2	2	2	2	3	3	3	3	4	5	5	4	4	4	4	4	4	4	4	4	5	4	5	Eintracht Frankfurt
3	7	9	9	10	13	10	13	9	11	8	11	11	9	10	8	8	8	7	7	8	10	10	9	9	7	8	Borussia Mönchengladbach
15	15	17	15	14	10	8	10	7	9	10	9	10	8	9	7	10	9	9	9	7	6	6	7	6	8	9	Hamburger SV
10	13	14	12	15	11	9	8	6	8	7	8	9	7	6	11	6	7	5	5	6	7	8	8	7	6	6	1. FSV Mainz 05
8	3	3	3	3	5	5	6	10	6	6	6	8	6	12	10	11	11	10	10	9	8	7	10	10	10	10	Hannover 96
6	7	6	6	9	12	14	15	15	14	15	15	15	13	14	13	14	15	15	14	13	14	14	13	11	11	11	1. FC Nürnberg
6	12	10	10	13	16	17	18	16	16	16	13	13	15	15	14	15	13	13	15	12	15	15	15	12	13	12	VfL Wolfsburg
15	18	16	17	17	15	15	12	8	10	12	12	12	11	7	6	9	10	11	12	14	12	11	11	14	12	13	VfB Stuttgart
12	9	11	11	7	8	12	9	11	7	9	7	7	12	8	12	12	12	12	11	11	11	12	14	13	14	14	SV Werder Bremen
2	5	7	7	5	6	7	11	13	15	14	16	14	14	13	15	13	14	14	13	15	13	13	12	15	15	15	Fortuna Düsseldorf
17	16	15	18	18	18	16	16	17	18	18	18	18	18	17	17	17	17	16	17	17	17	16	16	16	16	16	FC Augsburg
12	17	18	16	11	9	13	14	14	13	13	14	16	16	16	16	16	16	17	16	16	16	17	17	17	17	17	1899 Hoffenheim
18	11	13	14	16	17	18	17	18	17	17	17	17	17	18	18	18	18	18	18	18	18	18	18	18	18	18	SpVgg Greuther Fürth
