id,"text","key"
1,"A doubtful object that might be a eucrite.","Doubtful eucrite"
2,"An ordinary chondrite that is possibly from the L group that is petrologic type 3.","L(?)3"
3,"An ordinary chondrite from the L group that is a breccia of type 3 and type 4 components.","L3.7-4"
4,"An ordinary chondrite from the H group that is petrologic type 3.","H3.0-3.4"
5,"An ordinary chondrite from either the L group or LL group that is petrologic type 3.","L/LL3.4"
6,"An ordinary chondrite from the LL group that is petrologic type 3.","LL3.7"
7,"An ordinary chondrite from the L group that is approximately petrologic type 3.","L~3"
8,"An ordinary chondrite from the H group that is petrologic type 6 and is a breccia with melted material forming the matrix.","H6-melt breccia"
9,"A carbonaceous chondrite of the CM group that is anomalous and for which the petrologic type has not been determined.","CM-an"
10,"An ordinary chondrite from the H group that is petrologic type 3.","H3.6"
11,"A carbonaceous chondrite of the CI group that is petrologic type 1.","CI1"
12,"An ordinary chondrite from the H group that is a breccia of components that are all petrologic type 3.","H3.2-3.7"
13,"An iron meteorite belonging to the low-Au, medium-Ni subgroup (sLM) of the IAB complex.","Iron, IAB-sLM"
14,"An ordinary chondrite from the H group that is a breccia of type 4 and type 5 components.","H4-5"
15,"An ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 5.","H3.8-5"
16,"An ordinary chondrite from the L group that is a breccia of components that are all petrologic type 3.","L3.5-3.8"
17,"An object that has been claimed to be a meteorite, but which is nonmeteoritic in origin.","Pseudometeorite"
18,"A pallasite that has not been assigned to a chemical group.","Pallasite"
19,"A mesosiderite of petrologic class A and metamorphic grade 2.","Mesosiderite-A2"
20,"A carbonaceous chondrite of the CV group that is anomalous and of petrologic type 3.","CV3-an"
21,"A primitive achondrite belonging to the acapulcoite-lodranite family with anomalous properties .","Lodranite-an"
22,"An enstatite chondrite of the EL group that is petrologic type 6.","EL6"
23,"An ordinary chondrite from the L group that is petrologic type 3.","L3.6"
24,"A carbonaceous chondrite of the CO group that is petrologic type 3.","CO3.0"
25,"An ordinary chondrite from the H group that petrologic type 3.","H3.7/3.8"
26,"An achondrite from the eucrite group; the meteorite is brecciated.","Eucrite-br"
27,"An ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 3 to type 5.","L3.9-5"
28,"A mesosiderite of petrologic class A.","Mesosiderite-A"
29,"An ordinary chondrite from the LL group that is petrologic type 3.","LL3.6"
30,"An ordinary chondrite from the L group that is either petrologic type 4 or type 5.","L4/5"
31,"An ordinary chondrite from the L group that is petrologic type 3.","L3.4"
32,"An ordinary chondrite from either the L group or LL group that is petrologic type 3.","L/LL3.2"
33,"A mesosiderite with anomalous properties.","Mesosiderite-an"
34,"An iron meteorite belonging to chemical group IVA.","Iron, IVA"
35,"An enstatite chondrite of the EH group which has been impact melted.","EH-imp melt"
36,"An ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 3 to type 6.","H3.8-6"
37,"An ordinary chondrite that may be from the H group and may be petrologic type 4.","H4(?)"
38,"An R chondrite that is petrologic type 3.","R3.8"
39,"An ordinary chondrite from the LL group that is approximately petrologic type 3.","LL~3"
40,"An ordinary chondrite from the H group that is a breccia of components ranging from petrologic type 4 to type 6.","H4-6"
41,"An R chondrite that is petrologic type 3.","R3.9"
