id,class,keyword
1,1,1
2,1,2
3,2,3
4,2,4
5,2,5
6,3,3
7,3,4
8,3,5
9,3,6
10,4,3
11,4,7
12,4,5
13,5,3
14,5,4
15,5,8
16,5,5
17,6,3
18,6,8
19,6,5
20,7,3
21,7,4
22,7,5
23,8,3
24,8,7
25,8,9
26,9,10
27,9,11
28,9,12
29,10,3
30,10,7
31,10,5
32,11,10
33,11,13
34,11,14
35,12,3
36,12,7
37,12,5
38,13,15
39,13,38
40,14,3
41,14,7
42,14,6
43,14,16
44,15,3
45,15,7
46,15,5
47,15,16
48,16,3
49,16,4
50,16,5
51,18,17
52,19,18
53,20,10
54,20,19
55,20,12
56,20,5
57,21,20
58,21,21
59,21,12
60,22,22
61,22,23
62,22,9
63,23,3
64,23,4
65,23,5
66,24,10
67,24,24
68,24,5
69,25,3
70,25,7
71,25,5
72,26,25
73,26,2
74,27,3
75,27,4
76,27,5
77,27,16
78,28,18
79,29,3
80,29,8
81,29,5
82,30,3
83,30,4
84,30,6
85,30,16
86,31,3
87,31,4
88,31,5
89,32,3
90,32,4
91,32,8
92,32,5
93,33,18
94,33,12
95,34,15
96,35,22
97,35,26
98,36,3
99,36,7
100,36,5
101,36,9
102,37,3
103,37,7
104,37,6
105,38,27
106,38,5
107,39,3
108,39,8
109,39,5
110,40,3
111,40,7
112,40,6
113,40,9
114,41,27
115,41,5
116,42,3
117,42,4
118,42,6
119,42,12
120,43,22
121,43,23
122,43,28
123,44,29
124,45,3
125,45,4
126,45,8
127,45,16
128,45,9
129,46,15
130,46,12
131,47,3
132,47,7
133,48,3
134,48,8
135,49,3
136,49,7
137,49,5
138,49,6
139,50,1
140,51,3
141,51,4
142,51,5
143,51,9
144,52,3
145,52,4
146,52,8
147,52,5
148,53,10
149,53,24
150,53,5
151,54,30
152,55,3
153,55,7
154,55,4
155,55,16
156,56,27
157,57,3
158,57,7
159,57,5
160,58,3
161,58,8
162,58,16
163,58,28
164,59,15
165,59,12
166,60,3
167,60,7
