name,nametype,recclass,mass,fall,year,id,reclat,reclong
Ur,Valid,Iron,,Found,-2500.0,24125.0,30.9,46.01667
Wietrzno-Bobrka,Valid,Iron,376.0,Found,-600.0,24259.0,49.41667,21.7
Havana,Valid,"Iron, IAB complex",,Found,-300.0,11857.0,40.33333,-90.05
Nogata,Valid,L6,472.0,Fell,861.0,16988.0,33.725,130.75
Narni,Valid,Stone-uncl,,Fell,921.0,16914.0,42.51667,12.51667
Elbogen,Valid,"Iron, IID",107000.0,Fell,1400.0,7823.0,50.18333,12.73333
Rivolta de Bassi,Valid,Stone-uncl,103.3,Fell,1491.0,22614.0,45.48333,9.51667
Ensisheim,Valid,LL6,127000.0,Fell,1492.0,10039.0,47.86667,7.35
Valdinoce,Valid,Stone-uncl,,Fell,1496.0,24146.0,44.06667,12.1
Oliva-Gandia,Valid,Stone-uncl,,Fell,1520.0,18012.0,39.0,-0.03333
Campo del Cielo,Valid,"Iron, IAB-MG",5e+07,Found,1576.0,5247.0,-27.46667,-60.58333
Castrovillari,Valid,Stone-uncl,15000.0,Fell,1583.0,5295.0,39.8,16.2
Morito,Valid,"Iron, IIIAB",1.01e+07,Found,1600.0,16745.0,27.05,-105.43333
Jalandhar,Valid,Iron,1967.0,Fell,1621.0,12069.0,31.0,75.0
Stretchleigh,Valid,Stone-uncl,10400.0,Fell,1623.0,23732.0,50.38333,-3.95
Hatford,Valid,Stone-uncl,29000.0,Fell,1628.0,11855.0,51.65,-1.51667
Minamino,Valid,L,1040.0,Fell,1632.0,16692.0,35.07833,136.93333
Sagan,Valid,Stone-uncl,,Fell,1636.0,22796.0,51.53333,14.88333
Mount Vaisi,Valid,Stone-uncl,17000.0,Fell,1637.0,16805.0,44.08333,6.86667
Stolzenau,Valid,Stone-uncl,,Fell,1647.0,23726.0,52.53333,9.05
Fünen,Valid,Stone-uncl,,Fell,1654.0,10838.0,55.33333,10.33333
Novy-Ergi,Valid,Stone-uncl,,Fell,1662.0,17934.0,58.55,31.33333
Vago,Valid,H6,40.0,Fell,1668.0,24143.0,45.41667,11.13333
Ortenau,Valid,Stone-uncl,4500.0,Fell,1671.0,18033.0,48.5,8.0
Sasagase,Valid,H,695.0,Fell,1688.0,23187.0,34.71667,137.78333
Barcelona (stone),Valid,OC,,Fell,1704.0,4944.0,41.36667,2.16667
Schellin,Valid,L,7000.0,Fell,1715.0,23457.0,53.35,15.05
Siratik,Valid,"Iron, IIAB",1700.0,Found,1716.0,23615.0,14.0,-11.0
Ploschkovitz,Valid,L5,39.0,Fell,1723.0,18849.0,50.53333,14.11667
Steinbach,Valid,"Iron, IVA-an",98000.0,Found,1724.0,23722.0,50.5,12.5
Rasgrad,Valid,Stone-uncl,24700.0,Fell,1740.0,22396.0,43.5,26.53333
Ogi,Valid,H6,14360.0,Fell,1741.0,17994.0,33.28333,130.2
Krasnojarsk,Valid,"Pallasite, PMG-an",700000.0,Found,1749.0,12356.0,54.9,91.8
Nicorps,Valid,Stone-uncl,,Fell,1750.0,16970.0,49.03333,-1.43333
Hraschina,Valid,"Iron, IID",49000.0,Fell,1751.0,11916.0,46.1,16.33333
Luponnas,Valid,H3-5,14000.0,Fell,1753.0,14757.0,46.21667,5.0
Tabor,Valid,H5,7540.0,Fell,1753.0,23776.0,49.4,14.65
Albareto,Valid,L/LL4,2000.0,Fell,1766.0,453.0,44.65,11.01667
Lucé,Valid,L6,3500.0,Fell,1768.0,14724.0,47.85,0.48333
Mauerkirchen,Valid,L6,19000.0,Fell,1768.0,15446.0,48.18333,13.13333
Aire-sur-la-Lys,Valid,Unknown,,Fell,1769.0,425.0,50.66667,2.33333
Sena,Valid,H4,4000.0,Fell,1773.0,23495.0,41.71667,-0.05
Owrucz,Valid,OC,,Fell,1775.0,18062.0,51.33333,28.83333
Rodach,Valid,Stone-uncl,2900.0,Fell,1775.0,22642.0,50.35,10.8
Toluca,Valid,"Iron, IAB-sLL",3e+06,Found,1776.0,24018.0,19.56667,-99.56667
Pettiswood,Valid,Stone-uncl,,Fell,1779.0,18804.0,53.53333,-7.33333
Longchang,Valid,"Iron, IVA-an",158500.0,Found,1781.0,14695.0,29.3,105.3
Bendegó,Valid,"Iron, IC",5.36e+06,Found,1784.0,5015.0,-10.11667,-39.2
Sierra Blanca,Valid,"Iron, IAB?",405.0,Found,1784.0,23587.0,27.15,-104.9
Eichstädt,Valid,H5,3000.0,Fell,1785.0,7775.0,48.9,11.21667
Kharkov,Valid,L6,1500.0,Fell,1787.0,12291.0,50.625,35.075
Barbotan,Valid,H5,6400.0,Fell,1790.0,4942.0,43.95,-0.05
Castel Berardenga,Valid,Stone-uncl,,Fell,1791.0,5292.0,43.35,11.5
Zacatecas (1792),Valid,"Iron, ungrouped",1e+06,Found,1792.0,30381.0,22.81667,-102.56667
Cape of Good Hope,Valid,"Iron, IVB",136000.0,Found,1793.0,5261.0,-33.5,26.0
Siena,Valid,LL5,3700.0,Fell,1794.0,23586.0,43.11667,11.6
Mulletiwu,Valid,L,25.5,Fell,1795.0,16851.0,9.33333,80.83333
Wold Cottage,Valid,L6,25000.0,Fell,1795.0,24325.0,54.13667,-0.41333
Bjelaja Zerkov,Valid,H6,1850.0,Fell,1796.0,5063.0,49.78333,30.16667
Portugal,Valid,Stone-uncl,4500.0,Fell,1796.0,18876.0,38.5,-8.0
Prambanan,Valid,"Iron, ungrouped",500000.0,Found,1797.0,18884.0,-7.56667,110.83333
Benares (a),Valid,LL4,3700.0,Fell,1798.0,5011.0,25.36667,82.91667
Salles,Valid,L5,9000.0,Fell,1798.0,23111.0,46.05,4.63333
Mauritius,Valid,L6,220.0,Fell,1801.0,15447.0,-20.0,57.0
Apt,Valid,L6,3200.0,Fell,1803.0,2320.0,43.86667,5.38333
L'Aigle,Valid,L6,37000.0,Fell,1803.0,12434.0,48.76667,0.63333
Mässing,Valid,Howardite,1600.0,Fell,1803.0,15443.0,48.13333,12.61667
Bocas,Valid,L6,56.0,Fell,1804.0,5093.0,23.0,-102.0
Darmstadt,Valid,H5,100.0,Fell,1804.0,6603.0,49.86667,8.65
High Possil,Valid,L6,4500.0,Fell,1804.0,11884.0,55.9,-4.23333
Charcas,Valid,"Iron, IIIAB",1.4e+06,Found,1804.0,5326.0,23.08333,-101.01667
Durango,Valid,"Iron, IIIAB",164000.0,Found,1804.0,7751.0,,
Misteca,Valid,"Iron, ungrouped",10000.0,Found,1804.0,16705.0,16.8,-97.1
Asco,Valid,H6,41.0,Fell,1805.0,2345.0,42.45,9.03333
Doroninsk,Valid,H5-7,3891.0,Fell,1805.0,7718.0,51.2,112.3
Bitburg,Valid,"Iron, IAB complex",1.5e+06,Found,1805.0,5062.0,49.96667,6.53333
Alais,Valid,CI1,6000.0,Fell,1806.0,448.0,44.11667,4.08333
Timochin,Valid,H5,65500.0,Fell,1807.0,24004.0,54.5,35.2
Weston,Valid,H4,150000.0,Fell,1807.0,24249.0,41.266667,-73.266667
Borgo San Donino,Valid,LL6,1676.0,Fell,1808.0,5110.0,44.86667,10.05
Lissa,Valid,L6,12800.0,Fell,1808.0,14661.0,50.2,14.85
Moradabad,Valid,L6,70.0,Fell,1808.0,16740.0,28.78333,78.83333
Stannern,Valid,Eucrite-mmict,52000.0,Fell,1808.0,23713.0,49.28333,15.56667
Red River,Valid,"Iron, IIIAB",800000.0,Found,1808.0,22548.0,32.0,-95.0
Kikino,Valid,H6,195.0,Fell,1809.0,12306.0,55.0,34.0
Caswell County,Valid,OC,1360.0,Fell,1810.0,5296.0,36.5,-79.25
Charsonville,Valid,H6,27000.0,Fell,1810.0,5329.0,47.93333,1.56667
Mooresfort,Valid,H5,3520.0,Fell,1810.0,16737.0,52.45,-8.33333
Brahin,Valid,"Pallasite, PMG",823000.0,Found,1810.0,5130.0,52.5,30.33333
Santa Rosa,Valid,"Iron, IC",825000.0,Found,1810.0,23167.0,5.91667,-73.0
Berlanguillas,Valid,L6,1440.0,Fell,1811.0,5029.0,41.68333,-3.8
Kuleschovka,Valid,L6,6000.0,Fell,1811.0,12370.0,50.75,33.5
Punganaru,Valid,Stone-uncl,100.0,Fell,1811.0,18902.0,13.33333,78.95
Borodino,Valid,H5,500.0,Fell,1812.0,5114.0,55.46667,35.86667
Chantonnay,Valid,L6,31500.0,Fell,1812.0,5325.0,46.68333,1.05
Erxleben,Valid,H6,2250.0,Fell,1812.0,10049.0,52.21667,11.25
Toulouse,Valid,H6,1030.0,Fell,1812.0,24036.0,43.6,1.4
Limerick,Valid,H5,50000.0,Fell,1813.0,14652.0,52.56667,-8.78333
Luotolax,Valid,Howardite,885.0,Fell,1813.0,14756.0,61.2,27.7
Agen,Valid,H5,30000.0,Fell,1814.0,392.0,44.21667,0.61667
Bachmut,Valid,L6,18000.0,Fell,1814.0,4917.0,48.6,38.0
Chail,Valid,H6,0.5,Fell,1814.0,5314.0,25.36667,81.66667
Gurram Konda,Valid,L6,28.0,Fell,1814.0,11464.0,13.78333,78.56667
Lenarto,Valid,"Iron, IIIAB",108500.0,Found,1814.0,12763.0,49.0,21.0
Chassigny,Valid,Martian (chassignite),4000.0,Fell,1815.0,5331.0,47.71667,5.36667
Durala,Valid,L6,13200.0,Fell,1815.0,7750.0,30.3,76.63333
Hachi-oji,Valid,H?,0.2,Fell,1817.0,11468.0,35.65,139.33333
Seres,Valid,H4,8500.0,Fell,1818.0,23501.0,41.05,23.56667
Slobodka,Valid,L4,2750.0,Fell,1818.0,23645.0,55.0,35.0
Zaborzika,Valid,L6,3867.0,Fell,1818.0,30379.0,50.28333,27.68333
Cambria,Valid,"Iron, ungrouped",16300.0,Found,1818.0,5203.0,43.2,-78.8
Cape York,Valid,"Iron, IIIAB",5.82e+07,Found,1818.0,5262.0,76.13333,-64.93333
