Platz	Name	Jah­resgehaltMio	Vert­ragBis	AbloeseMio	AbloeseVon	AbloeseJahr	Man­nschaft	Bemerkungen
1.	Phil­lip Lahm	10	2016	0	Eigene Jugend	0	Bayern München	+0,6 Prämien + 3,6 andere Einnahmen
2.	Bas­tian Schweinsteig­er	10	2016	0	Eigene Jugend	0	Bayern München	+0,6 Prämien + 3,3 andere Einnahmen
3.	Ribe­ry	10	2015	25	 Olym­pique Mar­seil­le	 2007	Bayern München	+0,6 Prämien + 1,0 andere Einnahmen
4.	Mario Gomez	10	2013	30	 VfB Stuttgart 	 2009	Bayern München	
5.	Manu­el Neuer	6,25	2016	25	 Schal­ke 04 	 2011	Bayern München	
6.	Arjen Robb­en	5,5	2015	24	 Real Mad­rid 	 2009	Bayern München	
7.	Javi Mar­tinez	5-6	2017	24	 Athletic Bi­lbao 	 2012	Bayern München	
8.	Jupp Heynckes	5,0	2013	0	 Bayer Lever­kus­en 	 2011	Bayern München	
9.	Claudio Pizar­ro	4	2013	0	 Werd­er Brem­en 	 2012	Bayern München	
10.	Mario Man­dzukic	3,5	2016	13	 VfL Wolfsburg 	 2012	Bayern München	
11.	David Alaba	1,5	2015	0	Eigene Jugend	0	Bayern München	
12.	Sher­dan Shaqiri	0,8	2016	10-12	 FC Basel 	 2012	Bayern München	
