id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
1,"à propos: philosophie (Dokumentarfilm)","Deutschland","Berlin","Film / Video",1000,1055,245,0,16,16,43,10,11,"05.04.13 12:33","21.06.13","http://www.startnext.de/aproposphilosophie"
2,"GalaCon 2013","Deutschland","Ludwigsburg","Event",2500,10920,625,0,181,162,177,65,2,"13.03.13 14:46","09.06.13","http://www.startnext.de/galacon-2013"
3,"Konzertprojekt Junger Chor: Hugo Distler &#8211, Totentanz","Deutschland","Stuttgart","Musik",1000,1391,754,0,30,30,53,4,2,"05.03.13 15:40","01.06.13","http://www.startnext.de/junger-chor-herbst-2013"
4,"Das Niveau - Rockt! - HAMBURG (Logo)","Deutschland","Hamburg","Musik",1200,1225,13,0,81,56,74,1,3,"28.03.13 17:48","31.05.13","http://www.startnext.de/hamburgrockt"
5,"Jazz Trio 'TREY' CD Veröffentlichung","Deutschland","Essen","Musik",1000,1875,211,0,117,115,74,10,0,"26.03.13 09:44","23.05.13","http://www.startnext.de/trey"
6,"CodeQuartett","Deutschland","Aiglsbach","Games",1337,1685,51,0,108,107,126,12,3,"21.02.13 15:03","15.05.13","http://www.startnext.de/codequartett"
7,"Das Niveau 'Rockt!' - unser drittes Studioalbum","Deutschland","Berlin","Musik",8000,15685,0,0,490,481,513,67,4,"28.03.13 17:44","15.05.13","http://www.startnext.de/dasniveaurockt"
8,"Steam Noir: Revolution","Deutschland","Stuttgart","Games",7000,12945,110,0,321,307,349,74,18,"13.03.13 20:31","12.05.13","http://www.startnext.de/steam-noir-revolution"
9,"DMNK Clothing","Deutschland","Trier","Mode",3000,3152,2562,0,14,12,80,13,7,"11.02.13 12:02","09.05.13","http://www.startnext.de/dmnk-clothing"
10,"Falsches Spiel","Deutschland","Mainz","Film / Video",8000,8890,5309,0,101,92,177,33,14,"07.02.13 12:00","06.05.13","http://www.startnext.de/falschesspiel"
11,"Der Schatz von Großzapfelsberg","Deutschland","Beratzhausen","Film / Video",2500,2555,1120,0,42,36,45,7,6,"06.02.13 11:46","06.05.13","http://www.startnext.de/grosszapfelsberg"
12,"ROUGHTOWN - TragikActionKomödie","Deutschland","Berlin","Film / Video",6000,6246,1270,0,31,25,94,9,13,"13.03.13 16:29","05.05.13","http://www.startnext.de/roughtown"
13,"Marielle, die Ehrjungfrau","Deutschland","Berlin","Theater",4500,5097,1797,0,76,71,96,18,13,"18.03.13 18:23","05.05.13","http://www.startnext.de/marielle-die-ehrjungfrau"
14,"Lord Byron 2021","Deutschland","Berlin","Kunst",800,854,140,0,24,20,38,7,8,"25.03.13 10:38","05.05.13","http://www.startnext.de/lordbyron2021"
15,"Mädchen - Rockmusik ohne Gitarren - Das erste Album","Deutschland","Braunschweig","Musik",4000,4140,2055,0,43,37,75,15,3,"04.02.13 16:53","03.05.13","http://www.startnext.de/maedchen-rocken"
16,"Mit dem Gesicht zur Sonne","Deutschland","Passau","Literatur",6000,6092,557,0,136,114,165,72,23,"04.02.13 15:56","02.05.13","http://www.startnext.de/mit-dem-gesicht-zur-sonne"
17,"Debutalbum 'Funkfluenza' von Anna Partué & the Soul Age Band","Deutschland","Erfurt","Musik",1800,2060,559,0,24,24,58,3,3,"04.02.13 09:42","01.05.13","http://www.startnext.de/funkfluenza-debutalbum"
18,"Brettspiel 'Das Labyrinth des Pharao'","Deutschland","München","Games",10000,10411,4650,0,141,121,199,37,12,"01.03.13 09:20","01.05.13","http://www.startnext.de/pharao"
19,"NACHOBENOFFEN mini für 4 - 11Jährige","Deutschland","Wiesmoor","Theater",3500,3515,2940,0,20,19,76,10,8,"01.02.13 16:30","01.05.13","http://www.startnext.de/nachobenoffen-mini"
20,"Fleischsalat","Deutschland","Hamburg","Film / Video",500,500,130,0,14,13,22,3,6,"15.03.13 10:24","01.05.13","http://www.startnext.de/fleischsalat"
21,"Piraten! Die Abenteuer der Baracuda ","Deutschland","Berlin","Theater",2500,2840,1987,0,38,36,40,7,10,"04.04.13 14:38","30.04.13","http://www.startnext.de/piratenmusical"
22,"HeimatPunk - mit T-Shirts kreativ helfen!","Deutschland","München","Mode",6500,6856,1681,0,102,91,133,44,9,"11.03.13 15:06","30.04.13","http://www.startnext.de/heimatpunk-projekt"
23,"»Der Kirschgarten« von Anton Tschechow ","Deutschland","Rosenau","Theater",5000,5065,3320,1220,29,27,66,5,3,"01.03.13 13:27","30.04.13","http://www.startnext.de/kirschgarten"
24," 'ELBCOAST UNDERGROUND WEEKENDER 14' Urbanes Tanzfestival Hamburg","Deutschland","Hamburg","Event",5000,5338,5035,0,24,24,104,8,6,"02.04.13 17:15","30.04.13","http://www.startnext.de/elbcoastunderground"
25,"Blaukopf - Der Film","Deutschland","Offenburg","Film / Video",555,590,220,0,8,8,43,3,16,"15.03.13 10:22","30.04.13","http://www.startnext.de/bluehead"
26,"Miriamba","Deutschland","Köln","Film / Video",9500,10580,7743,0,69,63,176,29,19,"17.01.13 10:48","30.04.13","http://www.startnext.de/drehbuch-miriamba"
27,"BlattKunst supports Viva con Agua","Deutschland","Stuttgart","Fotografie",6500,6805,4601,0,63,57,153,15,4,"11.03.13 18:23","30.04.13","http://www.startnext.de/midnightproject-vca"
28,"USE-IT map für Dresden","Deutschland","Dresden","Informationsangebot",2000,2190,805,595,55,53,84,13,5,"04.03.13 12:14","30.04.13","http://www.startnext.de/use-it"
