id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
1,"Antilopen","Patrick Höfner","Deutschland","München","Film / Video",3000,476,51,0,11,11,70,2,2,"15.02.13 14:50","01.05.13","http://www.startnext.de/antilopen"
2,"SonnenSchluessel Konsens - Lernspiel zur Einigung in Gruppen","Christina Brückmann","Deutschland","Kassel","Kulturelle Bildung",4500,570,0,0,18,18,63,26,21,"13.03.13 16:31","01.05.13","http://www.startnext.de/sonnenschluessel-konsens"
3,"Krise, Krieg und andere Lügen","Aydin Isik","Deutschland","Köln","Theater",5000,15,10,0,2,2,54,4,6,"18.03.13 15:46","01.05.13","http://www.startnext.de/krise-krieg-luegen"
4,"HIER - Das erste Studioalbum","Daniela Fusi","Deutschland","Leimen","Musik",6042,1681,136,0,40,39,132,39,8,"22.02.13 10:06","30.04.13","http://www.startnext.de/hier"
5,"HERR  TAURINS  - deutsche Synchronfassung","Alexander Hahn","Lettland","Riga","Film / Video",8500,5,0,0,1,1,105,18,21,"11.03.13 17:21","30.04.13","http://www.startnext.de/herr-taurins"
6,"So schön und fair kann Schule sein!","Ulrike Sennhenn","Deutschland","Düsseldorf","Informationsangebot",2500,215,75,0,11,11,49,18,5,"15.03.13 10:11","30.04.13","http://www.startnext.de/so-schoen-kann-schule-sein"
7,"Das Rind - Gigant auf Gras [ Dokumentation ]","Norbert Baur","Deutschland","Köln","Film / Video",1111,295,35,0,19,19,36,7,1,"20.02.13 16:53","30.04.13","http://www.startnext.de/das-rind"
8,"heimat bis wolkig - Stadtfotograf Bielefeld 13/14","Veit Mette","Deutschland","Bielefeld","Fotografie",20000,7581,546,0,88,81,159,44,10,"31.01.13 16:48","29.04.13","http://www.startnext.de/heimat-bis-wolkig"
9,"Filmprojekt &#8222,MINTeam&#8220,","Benjamin Krupp","Deutschland","Stuttgart","Film / Video",18000,242,2,0,6,6,108,16,3,"28.01.13 11:25","28.04.13","http://www.startnext.de/minteam"
10,"Mit Spritgong.de günstiger Tanken für alle!","Jochen Geist","Deutschland","Murrhardt","Erfindung",25000,53,0,0,2,2,101,6,7,"22.02.13 16:27","27.04.13","http://www.startnext.de/spritgong-de"
11,"Future Fashion Day","Leila Kazimli","Deutschland","Konstanz","Mode",4000,390,120,0,8,8,65,13,3,"27.03.13 14:32","26.04.13","http://www.startnext.de/ffd"
12,"RUMPELSTIL - Das neue Album. Ein Fanprojekt.","Max Vonthien","Deutschland","Berlin","Musik",20000,3006,21,0,113,112,162,63,4,"25.01.13 18:16","25.04.13","http://www.startnext.de/rumpelstil"
13,"International Musical Friendship","Markus Lentz","Deutschland","München","Musik",5000,1210,0,925,12,12,59,11,5,"18.03.13 14:48","25.04.13","http://www.startnext.de/internationalmusicalfriendship"
14,"Musikern und Bands zur eigenen CD verhelfen","Laurent Schüller","Deutschland","Hamburg","Musik",5900,50,0,0,1,1,105,14,4,"25.01.13 17:02","24.04.13","http://www.startnext.de/plattenpool"
15,"Heelhole, Styling vom Fu¤ an die Wand!","Annika Malchus","Deutschland","Mainz","Erfindung",7500,907,25,0,13,13,99,13,9,"24.01.13 10:05","23.04.13","http://www.startnext.de/heelhole"
16,"ZWIKdesign - Fahrradgurt","Adnan Nakicevic","Österreich","Linz","Design",2500,241,5,0,7,7,50,11,2,"01.03.13 12:15","22.04.13","http://www.startnext.de/zwikdesign"
17,"MAMASWEED - Rock`N`Roll is not Dead! - Vinyl Edition","peter pan","Deutschland","Berlin","Musik",5000,292,11,0,15,15,85,5,1,"21.01.13 12:08","21.04.13","http://www.startnext.de/mamasweed-r-n-r-vinyl"
18,"Project New Zealand - mit dem Rucksack durch das Land von Herr der Ringe","Christina Rempel","Deutschland","Solingen","Film / Video",1920,52,0,0,3,3,43,6,0,"22.01.13 17:58","20.04.13","http://www.startnext.de/project-new-zealand"
19,"Spielemagazin für die Ouya - Ab in den Kiosk!","Ole Albers","Deutschland","Hamburg","Journalismus",4500,414,140,0,29,29,76,5,5,"04.02.13 16:00","20.04.13","http://www.startnext.de/ouyaunleashed"
20,"NETstamp Frankierungssoftware - Alternative zu StampIt","Robby Beyer","Deutschland","Ludwigsburg","Technologie",5000,41,0,0,2,2,63,4,2,"26.03.13 17:32","18.04.13","http://www.startnext.de/netstamp"
21,"piamo: Dein Espresso-Bereiter für die Mikrowelle","Christoph Meyl","Deutschland","München","Erfindung",145000,10042,572,0,187,165,322,69,20,"16.01.13 18:19","16.04.13","http://www.startnext.de/piamo"
22,"Bierjunge - Das Leben in einer Studentenverbindung","Madoc Valenta","Deutschland","Berlin","Film / Video",5000,165,0,0,5,5,104,5,2,"16.01.13 10:36","16.04.13","http://www.startnext.de/bierjunge"
23,"reex - Videoplattform für Filmemacher","René Kühn","Deutschland","Hamburg","Film / Video",3000,15,0,0,1,1,61,5,1,"29.01.13 14:50","16.04.13","http://www.startnext.de/reex-videoplattform"
24,"Traviata 2.0 - Verdi goes Balkan","Peter Haeusl","Deutschland","München","Musik",9000,111,41,0,6,5,112,1,3,"04.02.13 09:40","15.04.13","http://www.startnext.de/traviata-2-0"
25,"Kalender Fetisch und Fashion: Latex mal anders","Sandra Sturmeit Modell Fantine","Deutschland","Herne","Mode",7500,1337,175,0,27,27,93,16,6,"15.01.13 10:37","15.04.13","http://www.startnext.de/latex-fashion"
26,"Kingdom Zodiak Band 1 Action Manga ","Ihabo Azzamo","Deutschland","Reutlingen","Comic",3000,298,5,0,21,21,91,17,4,"15.01.13 14:26","15.04.13","http://www.startnext.de/kingdomzodiak"
27,"THQ Homeworld Lizenz","Dennis Kasim","Deutschland","Bremen","Games",15000,320,0,0,8,8,117,15,1,"05.03.13 14:00","15.04.13","http://www.startnext.de/homeworld"
28,"soee - das Beste für deinen Betrieb","Georgios Pavlakoudis","Deutschland","Münster","Technologie",36700,31,1,0,3,3,114,2,4,"22.02.13 17:50","15.04.13","http://www.startnext.de/soee"
29,"Produktion des Hörspiels 'König Stinkefuss'","Sascha Sauerborn","Deutschland","Heidelberg","Hörspiel / Hörbuch",1500,25,0,0,1,1,34,6,1,"30.01.13 11:54","14.04.13","http://www.startnext.de/hoerspiel-koenig-stinkefuss"
30,"Berliner Sommer - Ein Film über Techno und Leben in Berlin","André Spilker","Deutschland","Berlin","Film / Video",30000,5882,327,0,170,168,297,60,36,"04.03.13 16:29","12.04.13","http://www.startnext.de/berlinersommer"
31,"FADEN DER ARIADNE - Eine intermediale Rauminstallation","Kalas Liebfried","Deutschland","München","Kunst",900,260,60,0,12,10,32,4,4,"18.03.13 12:01","12.04.13","http://www.startnext.de/faden-der-ariadne"
32,"The History of Bahia Street","Gizelda Alves","Deutschland","Marburg","Film / Video",5000,450,10,0,11,7,63,9,5,"24.01.13 10:42","10.04.13","http://www.startnext.de/b-streetfilm"
33,"Die Genie¤er - ein Buch soll verlegt werden","Marie Grub","Deutschland","Berlin","Literatur",2900,115,0,0,4,4,61,12,7,"05.02.13 17:46","09.04.13","http://www.startnext.de/die-geniesser"
34,"Candymobil ","Juliane Weber","Deutschland","Dresden","Event",3400,133,10,0,7,7,66,6,7,"21.02.13 12:19","08.04.13","http://www.startnext.de/candymobil"
35,"Horumersieler Literaturtage 2013","Michael Hellbusch","Deutschland","Wangerland","Literatur",7000,750,605,0,7,6,88,8,1,"24.01.13 12:45","07.04.13","http://www.startnext.de/horumersieler-literaturtage"
36,"Tempelhof Broadcast","Jule Kauert","Deutschland","Berlin","Musik",5000,640,270,0,24,22,85,4,7,"20.02.13 18:17","06.04.13","http://www.startnext.de/tempelhof-broadcast"
